#      Train        Test
     1.15255      6.29809 
     1.19702      6.43894 
     1.22277      5.90138 
     1.23885      7.00745 
     1.13575      6.26405 
      1.1028      5.99587 
     1.29203      6.07779 
      1.0658      5.89707 
     1.18351      7.02508 
     1.14962      6.10831 
     1.17696      6.19069 
     1.28394      6.87671 
     1.19713      5.82717 
     1.23446       5.9248 
     1.23726      6.26318 
     1.23347      7.28415 
     1.21033      5.42795 
      1.2013      5.95039 
     1.17145      5.67305 
      1.1451      6.17177 
     1.18137      6.07297 
     1.13605      6.15102 
     1.28025      6.02142 
     1.14592       6.3268 
     1.12182      6.67996 
     1.05221      6.53873 
     1.17101      6.76358 
     1.23066      6.42989 
     1.12539      6.20971 
     1.07965      5.95725 
     1.16775      7.85826 
     1.13906        6.804 
     1.08824      6.79756 
     1.16266      6.84645 
     1.05653      6.14773 
     1.00197       6.9813 
     1.16817      6.18558 
     1.15242      6.64412 
     1.08558      7.25669 
     1.05045      6.29782 
     1.13458      6.31859 
     1.10376      6.87155 
     1.03087      6.95681 
      1.0766      6.96803 
    0.961787      7.41809 
     1.10702      7.25541 
     1.20756      6.20011 
     1.09651      7.23326 
     1.07372      7.43631 
     1.09276      8.32103 
      1.1044       6.8612 
     1.12387      8.04561 
     1.11595      6.82546 
     1.12591      7.32447 
     1.19585       6.9706 
     1.10189      6.90512 
     1.08515      6.97245 
      1.0889      6.94192 
       1.015      6.66711 
    0.994602      6.85707 
     1.20582      6.66393 
     1.07373       7.5772 
     1.10214       6.8921 
     1.09815      6.82494 
      1.0499      7.80053 
     1.03463      6.97331 
     1.09433      7.41665 
     1.02801      7.37885 
     1.07409      7.41095 
     1.06961      8.22193 
      1.1404      7.25291 
     1.11385      7.22004 
     1.01769      7.24938 
     1.07314      7.71763 
     1.07293      6.92346 
     1.01707      7.78605 
    0.984274      7.85396 
     1.08439      7.22872 
     1.06159      7.31043 
     1.05946      8.21027 
     0.98729      7.89692 
     1.05365      7.22583 
     1.18438      7.85174 
    0.935483       7.7648 
    0.935809      8.61063 
     1.10489      7.66386 
    0.966456      7.90257 
     1.03818      8.74065 
     1.01569      8.38902 
    0.893414      8.64016 
    0.923796        8.838 
     1.01812      8.60795 
     1.04983      8.12669 
    0.922015      8.37668 
    0.962843      8.04986 
     1.04139      8.39582 
      1.1041      8.71089 
     1.05109      7.87954 
     1.08824      8.21257 
     1.03025      8.42261 
     0.95576      8.53593 
     1.02817      8.44673 
      1.1226      8.33592 
    0.990936      8.53229 
     1.03447      8.88628 
    0.962197      8.82511 
      0.9719      8.99736 
     1.04113      8.42894 
     1.01167       8.6622 
    0.940322      10.1055 
    0.935721      8.63476 
     1.00296       8.2892 
    0.961944      9.82218 
     1.11147      9.67102 
    0.994537      8.65297 
     1.02886      9.50219 
    0.995778      9.63846 
     1.03963      9.30163 
     1.02793      8.15849 
    0.853765       10.353 
     0.97112      9.09479 
     1.08407      9.70324 
     1.00616      9.53629 
      1.0558      9.70732 
    0.969748      9.56316 
    0.951216      9.54871 
    0.889051      9.54215 
    0.998319      9.69162 
     0.93387      9.87404 
     1.02791      10.0003 
     1.08583      9.15879 
     1.04524      9.81398 
     1.01362      9.62084 
    0.976854      10.1476 
     1.06874      10.2147 
    0.977184      10.6725 
    0.989197      10.9981 
    0.908784      10.6794 
    0.949898      10.1741 
     1.10609      10.0361 
    0.871897      10.1704 
    0.960554      9.46837 
     1.02025      9.63898 
    0.870186      11.3403 
    0.866209       11.249 
    0.918451      11.4346 
     1.00485      11.1941 
    0.918514      10.4681 
    0.962849      10.3641 
    0.924064      10.5203 
    0.847278      10.6791 
     0.93093      10.7218 
     1.00147      11.7135 
     1.00302      12.1641 
     1.09941      11.7924 
    0.960258       11.678 
    0.986009      11.4289 
     1.01422      11.1926 
     0.97441      12.3772 
    0.911591      11.3056 
    0.962589      12.3389 
     1.01262      11.8478 
    0.936874      11.6335 
    0.861209      12.8734 
    0.935019      11.4656 
    0.974723      12.7422 
     0.92338      12.0019 
    0.949641        11.82 
    0.955167      12.8267 
    0.980891      12.3705 
    0.987013      13.1294 
      1.0461      13.6264 
    0.963145      12.6564 
    0.938706      13.5669 
    0.898415      13.4501 
     1.06225      13.6778 
    0.938593       12.981 
    0.957419      11.9452 
    0.925768       11.695 
     0.92643      13.1301 
     1.00931      13.2949 
     1.02356        14.32 
    0.896202      13.3547 
