#      Train        Test
     1.16417      6.44516 
     1.08125      6.44126 
     1.15249      5.85738 
      1.1017      6.67245 
     1.13334      6.43694 
     1.14602      5.98923 
     1.15187      6.63382 
     1.02775      6.37013 
     1.14574      5.50276 
     1.12472      6.89574 
     1.16418      7.14037 
     1.07594      6.06212 
      1.1187      6.22124 
      1.1604      6.13816 
     1.14704       6.5847 
     1.09913      6.52747 
    0.999853      7.10353 
     1.08788      7.04973 
     1.21396      6.22948 
     1.07503      6.49923 
     1.01818      6.47008 
     1.21699      7.33606 
     1.07282      6.84109 
     1.11492      6.33032 
     1.01628      5.94699 
      1.0393      7.46766 
     1.13438      6.74465 
     1.17124      6.72299 
     1.02477      6.96596 
    0.970384      6.09111 
     1.06488      6.66011 
     1.02721      6.41192 
     1.02571      6.20327 
     1.15495      5.97283 
     1.00047      6.90336 
     1.12657      7.66758 
     1.05007      7.07278 
    0.918265      7.08212 
     1.03235      7.19701 
     1.07881      7.72627 
    0.967485      6.59377 
     1.07895      6.92334 
     1.10673      8.08963 
     1.08785      7.93895 
     1.03974      5.95178 
     1.15368      7.32342 
     1.04644      7.51218 
     1.09321       7.8604 
     1.08892      6.85709 
     1.04001      7.66608 
    0.995715      7.58042 
    0.975404      7.86966 
     1.00695      7.44402 
    0.914174      7.50692 
     1.08602      7.06073 
      1.1336      8.44867 
     0.98219      7.22345 
     1.03296       7.4268 
     1.04084      6.85632 
     1.04463      6.98403 
    0.934997       7.2177 
    0.985189      8.28426 
    0.996182       6.9471 
    0.997346      8.04587 
     1.03149      6.87616 
    0.997645      7.74424 
    0.972645      7.16662 
     1.05106      7.66576 
     1.10182      8.77668 
     1.00441      7.59921 
     0.90013       7.8368 
    0.941136      7.47467 
     1.01444      7.46973 
    0.927374      7.54299 
     0.98303      7.20459 
     0.96621      7.30179 
     1.05731      7.39427 
     1.04205      7.93855 
    0.942292      8.10571 
    0.949002      8.33678 
    0.874861      9.01162 
     1.05213       9.1215 
    0.976752      8.35776 
    0.914191      8.04972 
     1.03417      8.37608 
    0.952832      8.79553 
    0.913613      8.05974 
     1.03006      8.01784 
    0.993055      7.92871 
    0.958008       7.7388 
     1.01414        8.034 
    0.950718      7.59994 
     1.04001      8.29094 
    0.970785      8.09469 
    0.994567      8.94917 
    0.875692      8.60356 
    0.988422      8.83645 
    0.940822      9.12825 
     0.97203      9.21715 
    0.832781       8.7694 
     1.03444      8.37475 
     1.02261      8.26712 
    0.951371      9.51202 
    0.870388      8.65697 
     1.02799      8.42121 
     1.03625      8.44027 
    0.868261      8.48776 
    0.888001      8.63989 
    0.906483      8.67251 
    0.949219      8.49356 
      1.0017      9.04391 
    0.846501      9.07502 
    0.858969      9.07152 
    0.880378      8.70096 
     1.03377      9.30665 
    0.915675      9.66398 
    0.955874      10.1338 
    0.995388      9.06815 
    0.935932      10.2387 
    0.869056      9.00729 
    0.918155      9.68715 
    0.897295      10.9322 
    0.979763      8.69369 
    0.917824      10.1162 
    0.897371      10.6371 
    0.905512      9.58518 
    0.875995      9.93919 
     1.02307      9.98092 
     0.88403      9.10768 
    0.810639      9.19568 
    0.853242       8.8874 
    0.920087      11.2073 
    0.913217      9.52438 
    0.954249      9.99188 
    0.940124      9.58829 
    0.923768      8.63774 
    0.900149      9.75802 
    0.849601      10.1031 
    0.940475      11.1122 
    0.877091      10.9023 
    0.918361      10.6168 
    0.833208      11.0348 
    0.781159      10.2302 
    0.903449      11.3146 
     1.07591      9.98748 
    0.896054      10.9945 
    0.861151      11.0816 
    0.810043      11.2776 
    0.846021      11.6218 
    0.870508      11.5366 
    0.802335      10.6248 
    0.868469      11.3486 
    0.792488      11.7864 
    0.892289      12.1855 
     0.88125      9.80828 
    0.921812       10.302 
    0.960698      11.4862 
    0.859539      11.4004 
    0.893743       10.585 
    0.928149      11.5167 
    0.936387       11.751 
    0.885518       12.432 
    0.879581      11.5828 
    0.907717      12.0913 
    0.947629      11.0757 
    0.967188      12.4767 
    0.875908      11.4564 
    0.809813      11.6163 
    0.874288      12.8426 
    0.876557      12.0493 
    0.867388      11.9863 
    0.850128      13.1259 
     0.79638      11.5584 
